feature,mean_abs_shap,mean_shap
transaction_category_restaurants_percent_cnt_2m,185.68340008278986,-9.619659501907547
bki_total_ip_max_outstand,184.10890262682145,17.134381695561547
summarur_1m_purch,180.65714437728113,37.92356902759911
max_balance_rur_amt_1m_af,178.6932947478525,8.909691878267779
hdb_bki_total_products,177.1323008726014,-1.6169936414314368
transaction_category_supermarket_inc_cnt_2m,175.55314176102374,-27.673148789482124
avg_6m_money_transactions,174.55638858370259,-51.286199273929185
turn_fdep_db_avg_act_v2,172.94562342193967,-64.60895979000654
other_credits_count,166.01192382250082,-13.1598320336351
transaction_category_supermarket_percent_cnt_2m,163.461979454801,7.22943668213106
transaction_category_supermarket_sum_amt_d15,161.13375026248693,-5.405180499873336
avg_6m_hotels,160.08091136344768,5.812472458421884
avg_by_category__amount__sum__cashflowcategory_name__set_supermarketov,156.0418358072509,-27.65417843853778
dp_ils_cnt_changes_1y,154.71458978369532,-120.21559308320603
profit_income_out_rur_amt_12m,151.4365024975488,0.015241892690140134
dp_payoutincomedata_payout_avg_3_month,150.29568568262866,46.73257227821166
dp_payoutincomedata_payout_avg_6_month,148.0459689831991,63.14827624052366
hdb_bki_total_pil_cnt,145.02544283508718,-27.484944470935147
transaction_category_fastfood_percent_cnt_2m,144.25478103883623,-6.188349987974293
turn_save_cr_max_v2,142.98894870531075,-35.04548109797242
avg_by_category__amount__sum__cashflowcategory_name__oteli,142.78626804175164,-5.047559983025973
dp_ils_days_multiple_job_cnt_5y,138.54623409845587,17.438508567159435
month,135.34141521809076,-133.98657321866932
bki_total_il_max_limit,130.6061129053429,-26.52689905140065
min_balance_rur_amt_1m_af,130.2131313763746,10.216196329446474
winback_cnt,127.8445645231354,1.9461303861803418
dp_ils_accpayment_month_avg,127.23167552585032,-23.77038302224927
vert_pil_last_credit_step_screen_view_3m,125.74401752533122,54.11390860896908
avg_6m_restaurants,124.15541732623595,-6.455387826617289
by_category__amount__sum__eoperation_type_name__platezh_za_mobilnyj_cherez_ps,120.69235609237133,-21.441389626364153
turn_fdep_db_avg_v2,119.16032250994918,-49.01140973469098
acard,118.17406705730947,50.93215986270758
avg_balance_rur_amt_1m_af,116.12107673015832,2.7716573664720263
bki_total_products,115.29790593630462,5.116292596951991
bki_total_active_products,113.26758071334949,13.270212148670403
dp_payoutincomedata_payout_max_6_month,113.18210715781566,55.27897230221134
avg_6m_government_services,111.57881227836663,13.932221422701314
hdb_bki_total_ip_max_limit,106.09887765137672,3.1152498671522157
turn_cur_db_7avg_avg_v2,105.20971588091297,15.809093752211814
salary_median_in_gex_r1,105.00139939855227,-13.452145877066158
avg_fdep_cr_turn,101.97882952467222,-24.319437785021933
cntBlockWavg6m,101.25918754435858,12.452574887577315
hdb_ovrd_sum,100.8533708468799,13.513633867619628
bki_total_oth_cnt,100.65282891808988,-44.07018426560683
avg_by_category__amount__sum__cashflowcategory_name__produkty,99.69040548679159,-2.660376481597313
turn_other_cr_avg_act_v2,97.46543048433934,0.08296036472742997
avg_6m_all,94.0721243171983,-46.539782488694684
