feature,mean_abs_shap,mean_shap
gender,0.0785712952838436,-0.00043637714879114146
salary_mismatch_ratio,0.06382187280885875,-0.0024877519468809706
turn_cur_cr_avg_act_v2,0.049585048919664435,0.00688970637628028
incomeValue,0.0410494879271421,-0.0029301530784205613
salary_6to12m_avg,0.03744034760938185,-0.006501674079114243
hdb_bki_total_cc_max_limit,0.0364497893109597,-0.0023681471485435036
limit_to_salary,0.030856708023725785,0.0034911263896753642
hdb_bki_total_max_limit,0.03076192473713217,-0.0023275733129776367
hdb_bki_total_pil_max_limit,0.027455703343426525,-0.0036901838161158542
age,0.026571994777537217,-0.002268588017545579
turn_cur_db_avg_act_v2,0.025600183405640832,0.001762781473086227
per_capita_income_rur_amt,0.024532111464675703,-0.0002616269726875806
hdb_bki_active_cc_max_limit,0.02193219744508707,-0.0007933327929439716
salary_mismatch,0.021436021844907345,-0.003977155443835804
dp_ils_paymentssum_avg_12m,0.01875845691974823,0.006518969685273323
dp_ils_avg_salary_1y,0.01797360067509339,0.004845155530876003
turn_cur_cr_sum_v2,0.016108340640813523,0.00043283767457327104
avg_cur_cr_turn,0.01536887075461316,0.0033264489964142537
turn_cur_cr_max_v2,0.015368816114166729,0.007080156586640282
incomeValueCategory,0.015221100138736433,0.0007567179858093549
by_category__amount__sum__eoperation_type_name__ishodjaschij_bystryj_platezh_sbp,0.014418662872946941,-0.0008560129810462352
avg_cur_db_turn,0.014157422254252854,-0.0003191039846309287
turn_cur_cr_avg_v2,0.013593346514172083,0.0017174341987835876
dp_ils_paymentssum_avg_6m_current,0.01281633825967577,4.2662782017300795e-05
curbal_usd_amt_cm_avg,0.012602879100036645,-0.001240365198376577
turn_cur_db_sum_v2,0.012094738311478885,0.0019602364279830437
income_minus_limit,0.011286530808521265,0.0024263185671140014
by_category__amount__sum__eoperation_type_name__vhodjaschij_bystryj_platezh_sbp,0.011013789811547445,-0.00029270360090924793
avg_credit_turn_rur,0.010581354135009317,0.0010552282175721815
avg_by_category__amount__sum__cashflowcategory_name__vydacha_nalichnyh_v_bankomate,0.010504023707351666,0.0011430082211853283
trend_turn_cr,0.009578375041301948,-0.0007866853199375083
curr_rur_amt_3m_avg,0.00945023464254542,0.001086034128999834
label_Below_50k_share_r1,0.009165044931987922,0.0002598529369376324
